,a2c,ddpg,td3,ppo,sac,mvo
2023-05-17,2824364.502595,2380741.6626599994,2116946.459755,1698320.4343600103,2414539.31569,3357387.9667047784
2023-05-18,2839055.452594999,2404440.2826599996,2133271.8597550006,1718854.9992750103,2436496.8756900006,3414341.122970189
2023-05-19,2835662.1225949996,2390099.922659999,2120157.4297550004,1701591.5515000103,2416508.88569,3384334.108112272
2023-05-22,2839056.612595,2402318.1826599995,2134407.2897550003,1712378.6159050101,2433652.07569,3390137.2982300427
2023-05-23,2811162.372595,2387257.64266,2112780.9997550007,1703189.767055011,2420405.59569,3374248.555820536
2023-05-24,2794260.6425949996,2365462.4426599997,2085686.0197550007,1689396.0941450107,2384233.6756900004,3372372.691317805
2023-05-25,2827799.962595,2356071.7026599995,2125270.5997550003,1684064.8281450104,2380000.11569,3456951.9708722844
2023-05-26,2859994.892594999,2399900.4426599997,2158380.7397550005,1725468.8130550103,2431385.1456899997,3552437.603808365
2023-05-30,2854395.9325949997,2414228.3426599996,2161736.609755,1735580.2331100104,2454242.3856900004,3556831.4667568835
2023-05-31,2840474.4225949994,2391279.6026599994,2143972.2997550005,1711863.3118300105,2431643.71569,3491560.0599277485
2023-06-01,2866052.26375,2433651.6626599994,2172165.0297550005,1737976.4053150108,2481473.70569,3532228.6509681176
2023-06-02,2907357.92375,2501489.02266,2214445.5597550003,1786000.7765550106,2546209.1256900006,3563780.259079706
2023-06-05,2912359.3837499996,2474149.0026599998,2199739.3997550006,1767205.1350200106,2529599.85569,3553542.643502202
2023-06-06,2915575.8137499997,2506382.2026599995,2206375.9297550004,1798459.7842100104,2598148.14569,3609855.4216161766
2023-06-07,2884404.7537499997,2506140.0026599998,2197032.1397550004,1784937.4551450103,2605567.06569,3538804.1782283103
2023-06-08,2902388.1837499994,2523297.4026599997,2216501.0997550003,1801954.4750100102,2596831.695690001,3606389.0051824274
2023-06-09,2908238.09375,2522140.9026599997,2219867.1797550004,1795241.2682850105,2602723.5856900006,3632841.90972647
2023-06-12,2926880.4837499997,2545051.3426599996,2242177.9297550004,1820581.3789850108,2607753.25569,3702953.7992783957
2023-06-13,2945804.7937499997,2561978.4026599997,2252346.1197550003,1829590.1110200104,2634088.65569,3668374.3239524
2023-06-14,2952444.3437499995,2553355.2626599995,2242012.5997550003,1822213.5618700103,2616953.22569,3686819.8630596763
2023-06-15,3013560.6837500003,2577144.7426599995,2290050.8997550006,1838200.2068550107,2641743.9956900002,3691357.342277956
2023-06-16,2993983.68375,2570511.6226599994,2273173.1497550006,1829423.3263950103,2631274.4156900006,3647697.7721914137
2023-06-20,2965998.0637499997,2543363.10266,2229341.0297550005,1808580.9988700105,2592576.3856900004,3625246.8638485023
2023-06-21,2946921.85375,2526403.8426599996,2214710.6797550004,1788842.7537900102,2578940.6556900004,3558969.227578128
2023-06-22,2972214.7137499996,2527210.8426599996,2205846.9297550004,1803272.2795550106,2570241.47569,3583671.053596828
2023-06-23,2947115.1976799998,2519859.3426599996,2182973.8897550004,1792930.3272150103,2546942.18569,3570456.097636195
2023-06-26,2915509.0694049997,2513679.0426599993,2166491.8997550006,1784442.0190900103,2545621.95569,3528956.73711314
2023-06-27,2940692.03357,2527709.52266,2204489.0597550008,1798753.3200050103,2581818.64569,3575869.970940984
2023-06-28,2946707.27357,2531068.1826599995,2209792.1997550004,1798938.8787150104,2584787.7356900005,3580782.765434291
2023-06-29,2955701.73357,2556600.02266,2216587.409755001,1799088.37512501,2607181.23569,3592290.9628331065
2023-06-30,2989194.08357,2589645.4626599997,2230532.7897550003,1821010.9687950106,2627656.8056900003,3651437.3389517786
2023-07-03,2970407.5335699995,2602121.8626599996,2230966.1397550004,1830755.38091501,2647017.3156900005,3656422.6788302986
2023-07-05,2966698.5335700004,2581022.68266,2235047.6697550006,1816355.9191950103,2632399.5756900003,3633311.355608272
2023-07-06,2958824.05357,2544849.4226599997,2235349.5997550003,1788098.3232250104,2593849.4956900002,3610370.5571951633
2023-07-07,2935115.9635699997,2554490.02266,2228414.5497550005,1804767.5858350103,2610092.1556900004,3605239.9852556866
2023-07-10,2919366.1535699996,2550922.10266,2216915.8197550005,1801594.1849950103,2630858.1856900007,3586265.164753079
2023-07-11,2924349.2135699997,2587192.3226599996,2244638.9097550004,1833767.5430250103,2668558.91569,3587885.432137966
2023-07-12,2946299.493569999,2601415.72266,2258587.979755,1853541.3775150105,2677477.00569,3629926.7637369176
2023-07-13,2977073.8635699996,2625337.56266,2281889.2397550005,1883014.8457800103,2703419.0556900003,3668475.9950476047
2023-07-14,2976410.72357,2608306.7226599995,2239883.899755,1848510.9294850102,2567981.8756900006,3664251.365239026
2023-07-17,2980156.69357,2638364.4226599997,2239031.5397550007,1849445.9373050106,2572076.43569,3690437.2068489008
2023-07-18,3043888.7735699997,2659873.2426599995,2289913.5897550005,1861367.3123150105,2606931.44569,3686841.6522692796
2023-07-19,3029643.51357,2676928.7426599995,2274304.0197550002,1883223.9807200104,2617111.10569,3692687.6158826
2023-07-20,3057157.0335699995,2669617.6626599994,2272098.6397550004,1862525.0214950102,2628164.85569,3645267.4136066153
2023-07-21,3051494.2035699994,2647748.52266,2253138.5497550005,1858156.3176550104,2600096.65569,3646599.204064162
2023-07-24,3069532.2935699997,2653626.9826599997,2277927.6997550004,1859407.0350900106,2603807.0056899996,3652055.1114073712
2023-07-25,3106652.90357,2658911.2226599995,2284190.1797550004,1888643.16507501,2610955.79569,3685807.0513154017
