date,a2c,ddpg,td3,ppo,sac,mvo
2022-03-14,2529347.8463,2480752.2030999996,2018847.20205,2405937.420049994,2187668.85935,2168080.0689695096
2022-03-15,2552010.8463,2493760.0030999994,2021746.6020499999,2423755.3980999943,2207235.45935,2175593.5914802765
2022-03-16,2561649.9463,2502099.4030999998,2029276.7020499997,2422033.876799994,2219517.65935,2177893.625853993
2022-03-20,2528117.7462999998,2473012.2030999996,2017455.2020499997,2389371.947699994,2181025.5593499993,2161900.2880408745
2022-03-21,2530928.3463,2478192.8030999997,2035470.1020499999,2406140.3446999937,2187632.6593499994,2169534.5093331784
2022-03-22,2550150.5463,2490862.2030999996,2041529.6020499999,2411759.6004999937,2206623.65935,2169841.993959452
2022-03-23,2539293.9462999995,2481241.4030999998,2036394.90205,2406839.5531499935,2196118.35935,2165708.687761808
2022-03-24,2533788.2462999998,2478069.4030999998,2039623.6020499999,2402899.7103499942,2192945.1593499994,2159809.249950423
2022-03-27,2532159.7463,2477860.0030999994,2040412.50205,2393603.677699994,2193022.9593499997,2159897.365960554
2022-03-28,2530832.7462999998,2485600.0030999994,2046393.8020499998,2410395.9464499936,2193426.5593499998,2172562.6651258306
2022-03-29,2516421.2462999998,2479118.2030999996,2042007.6020499999,2399758.5230999934,2187702.3593499996,2166756.750095713
2022-03-30,2508272.5463,2473010.8030999997,2040691.70205,2393218.7330499934,2179714.85935,2161818.1473154537
2022-03-31,2512113.0463000005,2478438.4030999998,2041968.90205,2402459.8031999934,2189794.7593499995,2163692.9431556496
2022-04-03,2508416.9463,2469088.4030999998,2041496.8020499998,2395346.8153499933,2193079.35935,2151954.660183025
2022-04-04,2475065.0463,2438639.0031,2036280.3020499998,2364448.7738499935,2159225.959349999,2129775.5251672454
2022-04-05,2452686.4463,2416557.8030999997,2031995.50205,2342601.154699994,2133419.4593499997,2118885.0352709917
2022-04-06,2453838.3463,2411297.4030999993,2016150.40205,2342979.536799994,2139404.9593499997,2110924.8065841673
2022-04-07,2433692.546299999,2395103.2030999996,2015508.1020499999,2345587.2129499936,2117358.65935,2104245.164154906
2022-04-10,2456618.9463,2413913.6030999995,2018942.0020499998,2349802.5995499934,2136781.0593499998,2112298.6274248566
2022-04-11,2466352.4463000004,2415172.8030999997,2026699.0020499998,2364039.6788499937,2147421.15935,2112785.9518861
2022-04-12,2452954.3463000003,2398182.2030999996,2011911.40205,2343714.2069499935,2133964.15935,2099342.1943816254
2022-04-13,2449609.8463000003,2397130.2030999996,2021012.1020499999,2337632.3433499937,2131019.5593499993,2105056.8773743086
2022-04-17,2440646.9463000004,2388749.6030999995,2020263.80205,2329380.2734499937,2126375.6593499994,2102794.201103441
2022-04-18,2415066.8463,2362128.8030999997,2017193.3020499998,2318418.104549994,2096673.3593499996,2083330.277926656
2022-04-19,2414940.5463,2368337.2030999996,2020898.5020499998,2319976.044149993,2102535.4593499997,2088332.4026997858
2022-04-20,2430221.0463,2379435.5030999994,2029871.50205,2339838.183449994,2112603.05935,2094895.131300056
2022-04-21,2440074.6463,2396310.3031,2039457.0020499998,2347720.913249993,2121383.0593499998,2107656.7869243715
2022-04-24,2450583.0463,2400234.6030999995,2035747.70205,2358167.647949993,2134271.85935,2113981.124737332
2022-04-25,2438499.9463000004,2389866.6030999995,2036969.40205,2357585.275149994,2121572.3593499996,2109062.8481217627
2022-04-26,2450118.2462999998,2402258.2030999996,2051042.1020499999,2388736.909849994,2135765.75935,2118186.0121376757
2022-04-27,2433398.2463,2390446.7030999996,2049223.8020499998,2357954.379649994,2109842.3593499996,2113451.221788491
2022-04-28,2369318.1463,2340892.0031,2052644.90205,2307857.059399994,2043823.7593499997,2085597.313338926
2022-05-05,2397193.0462999996,2361277.9030999993,2063302.0020499998,2362321.9200999937,2078877.0593499995,2096879.2319810453
2022-05-08,2406539.625,2367234.0030999994,2055878.70205,2360592.7883499935,2089475.4593499997,2100526.8063803576
2022-05-09,2414577.5992000005,2376174.4030999993,2064102.70205,2360778.3696499937,2087597.5593499998,2111225.9494657833
2022-05-10,2405191.0991999996,2372163.6030999995,2055683.2020499997,2352862.755649993,2079005.4593499997,2107898.993325261
2022-05-11,2399039.2992000002,2354941.6030999995,2048985.1020499999,2348694.7454999937,2064809.1593499996,2095732.520529024
2022-05-12,2392515.6992,2354828.3030999997,2039504.90205,2335396.0365499933,2062007.2593499997,2090803.273602873
2022-05-16,2347677.0992000005,2307523.6031,2015132.8020499998,2297185.873299993,2012493.1593499996,2056551.4050919872
2022-05-17,2342750.1992,2302638.4030999998,2007670.2020499997,2299933.165749993,2009600.1593499999,2048937.0477748117
2022-05-18,2326919.9992,2287843.2030999996,1989164.6020499999,2270368.6654499937,1993603.4593499994,2036320.6116378559
2022-05-19,2305910.5992,2275688.8030999997,1985802.1020499999,2278917.587949993,1984757.6593499996,2019619.975002974
2022-05-22,2263270.6992,2231200.0030999994,1956378.0020499998,2237584.493699994,1947694.1593499996,1982176.352036687
2022-05-23,2260027.6992,2231217.0030999994,1966975.8020499998,2240998.604149994,1949105.2593499995,1992272.7547936137
2022-05-24,2271181.6992,2239647.4030999998,1966635.0020499998,2243543.6084499937,1955437.9593499997,1996787.6225457373
2022-05-25,2265735.3992000003,2232332.4030999998,1955983.8020499998,2229961.715449994,1945505.7593499995,1989943.721614475
2022-05-26,2268399.7992000002,2237775.0030999994,1957334.8020499998,2235807.0220999937,1953653.4593499997,1991217.1930343087
2022-05-29,2294759.0992,2268880.9030999998,1993672.5020499998,2249419.0188499936,1971580.4593499997,2022094.1981400927
