date,a2c,ddpg,td3,ppo,sac,mvo
2020-07-27,2524965.033225002,2514125.350225,2831820.60055,2423762.6933000013,2209498.6931000007,3189325.697828588
2020-07-28,2520119.333225002,2540258.000225,2851452.5005499995,2437501.543300001,2229579.3431000006,3209884.0571962716
2020-07-29,2500010.233225002,2576427.6002250006,2972391.7005499997,2506322.9433000013,2217081.893100001,3189457.778273339
2020-07-30,2493687.4332250017,2609226.350225,3076829.6505500004,2555777.3433000008,2195826.4931000005,3176450.5392832123
2020-07-31,2479072.5832250016,2608302.250225,3081111.95055,2562360.5933000008,2190412.493100001,3156447.093329467
2020-08-03,2458699.783225002,2581881.8502250006,3098839.50055,2556416.693300001,2151461.543100001,3160300.9915763102
2020-08-04,2485216.633225002,2643950.8502250006,3156516.25055,2587506.093300001,2190520.643100001,3197743.586781376
2020-08-05,2489262.683225001,2634903.550225,3154656.90055,2583925.9433000004,2186448.6931000007,3220164.0591823673
2020-08-06,2511490.0832250016,2641066.2502250005,3157517.3505500006,2586593.1933000013,2203156.843100001,3246167.599731421
2020-08-07,2567500.383225002,2654031.900225,3138089.95055,2620973.043300001,2228640.9931000005,3255820.389412701
2020-08-10,2583608.533225002,2690108.2002250007,3209963.95055,2644824.543300001,2256215.0431000004,3274809.193644446
2020-08-11,2583322.7832250013,2676324.7002250007,3145273.35055,2619958.643300001,2267935.3931000005,3248871.441645779
2020-08-12,2582584.033225002,2654329.4502250003,3101314.90055,2600096.443300001,2258914.143100001,3232852.202358243
2020-08-13,2591186.9332250017,2648198.8502250006,3113125.25055,2599009.793300001,2251795.8431000006,3268832.362193619
2020-08-14,2581123.0332250013,2647930.6502250005,3119167.80055,2601501.393300001,2241293.543100001,3260786.5925424453
2020-08-17,2611569.2332250015,2652123.750225,3129482.75055,2614637.7433000007,2253153.1931000007,3292740.60207285
2020-08-18,2654071.8332250016,2678476.8002250004,3145538.85055,2652075.693300001,2287583.2931000004,3350466.314504122
2020-08-19,2667014.533225002,2677338.6502250005,3133601.25055,2649220.6433000006,2296872.4431000007,3363496.1821518475
2020-08-20,2650984.533225002,2654955.5502250004,3110853.20055,2640647.893300001,2276315.793100001,3322569.402588767
2020-08-21,2731710.733225002,2679968.600225,3126217.70055,2690334.5933000008,2329941.2931000004,3387115.468061192
2020-08-24,2744741.033225002,2684788.9502250003,3116338.8005500003,2686646.2433000007,2352356.343100001,3395787.6114489576
2020-08-25,2778381.533225002,2680332.6502250005,3100910.6005499996,2693059.5433000005,2364487.8431000006,3421882.3173466995
2020-08-26,2754973.3332250016,2684599.1502250005,3104599.75055,2678563.143300001,2349083.4931000005,3406040.66640752
2020-08-27,2766124.083225002,2699599.000225,3108533.35055,2694821.6433000006,2372168.093100001,3426025.5087381136
2020-08-28,2748441.0832250016,2698959.4002250005,3084441.2505500005,2682832.7433000007,2379440.5931000006,3422631.071063058
