,a2c,ddpg,td3,ppo,sac,mvo
2021-03-02,2566332.311040001,2769591.8404250005,2813346.150165001,2207202.8428800013,2550917.25798,3363992.78395057
2021-03-03,2529022.4510400007,2757824.610425,2817326.410165001,2221998.4630750013,2567171.09798,3300678.5702108317
2021-03-04,2514722.091040001,2718723.2204250004,2772486.8501650016,2213414.1996950014,2533549.097980001,3243353.6598709095
2021-03-05,2564775.281040001,2762583.440425,2823950.670165001,2232831.5641750013,2590697.0979800005,3276893.9473831966
2021-03-08,2554417.3910400006,2751117.4504250004,2834611.9901650012,2247116.770905001,2625783.6779800006,3216123.3077292508
2021-03-09,2594191.331040001,2812571.6004250003,2855039.830165001,2241554.234600001,2607349.287980001,3305371.980168338
2021-03-10,2601433.3110400005,2831439.0004250007,2865007.630165001,2258036.573360001,2649047.1679800004,3324563.3700560248
2021-03-11,2632894.961040001,2855702.740425,2858125.460165001,2257803.9771350017,2644825.4079800006,3387327.164650479
2021-03-12,2635771.171040001,2893715.740425,2872048.560165001,2267253.0411200016,2678098.4179800004,3402716.0798915867
2021-03-15,2624116.901040001,2900969.6804250004,2904953.2801650013,2273329.3265450015,2665979.7179800007,3428286.4115640293
2021-03-16,2639989.6410400006,2881422.0504250005,2891729.030165001,2262796.5964750014,2637570.8779800003,3424615.8039297955
2021-03-17,2648233.8010400007,2917449.150425,2915670.7401650012,2277003.4159100014,2662788.0379800005,3443927.451908919
2021-03-18,2616423.1210400006,2848690.7004250004,2891733.620165001,2278542.3425450013,2670695.107980001,3353904.1186549314
2021-03-19,2601452.641040001,2844312.0904250005,2870619.360165001,2264894.6477950015,2636520.9179800004,3360362.2707921155
2021-03-22,2626562.1010400006,2854091.8004250005,2870025.810165001,2246239.5252950015,2604013.6379800006,3390687.2793239104
2021-03-23,2624153.771040001,2803896.210425,2824077.7601650013,2225818.0895100012,2562715.187980001,3360290.5787411076
2021-03-24,2609315.431040001,2777668.780425,2822752.930165001,2230879.3419900015,2578293.8879800006,3325390.767262078
2021-03-25,2607502.6510400013,2806190.5404250002,2857848.600165001,2257744.4799500015,2629772.667980001,3336469.649573627
2021-03-26,2658218.2410400007,2846867.0904250005,2912571.480165001,2283921.2639650013,2679843.3779800003,3362099.710440303
2021-03-29,2646634.2810400007,2845361.2804250005,2901534.770165001,2277473.7146900017,2651913.667980001,3375488.69592344
2021-03-30,2632821.871040001,2840400.6804250004,2898376.750165001,2288594.601140002,2665104.4079800006,3354705.2811041875
2021-03-31,2643695.6410400006,2853583.110425,2883722.750165001,2271061.4477300015,2635752.437980001,3390393.683236013
2021-04-01,2694735.6810400006,2889823.190425,2904568.730165001,2285940.399835002,2655555.4779800004,3427489.0551724574
2021-04-05,2747021.0010400005,2941183.8804250006,2932508.7601650013,2299138.9587950017,2674022.7779800007,3475009.587527772
